R_PRODUCTO;C_RAMA;VALOR;VALOR_C
14;43;0;0
14;44;0;0
14;45;0;0
14;46;0;0
14;47;0;0
14;48;0;0
14;49;0;0
14;50;0;0
14;51;0;0
14;52;0;0
14;53;0;0
14;54;0;0
14;55;0;0
14;56;0;0
14;57;0;0
14;58;0;0
14;59;0;0
14;60;0;0
14;61;0;0
14;62;0;0
14;63;0;0
14;64;0;0
14;65;0;0
14;66;0;0
14;67;0;0
14;68;0;0
14;69;0;0
14;70;0;0
14;71;0;0
14;72;0;0
14;73;0;0
14;74;0;0
14;75;0;0
14;76;0;0
14;77;0;0
14;78;0;0
14;79;0;0
15;1;85500000;93302401.235
15;2;0;0
15;3;0;0
15;4;0;0
15;5;449100000;464634015.32
15;6;451100000;464434020.58
15;7;34645700000;37370946818
15;8;368700000;425369697.44
15;9;0;0
15;10;0;0
15;11;0;0
15;12;0;0
15;13;0;0
15;14;0;0
15;15;0;0
15;16;0;0
15;17;149800000;175386138.86
15;18;89800000;90027527.54
15;19;0;0
15;20;0;0
15;21;0;0
15;22;0;0
15;23;0;0
15;24;0;0
15;25;0;0
15;26;0;0
15;27;0;0
15;28;0;0
15;29;0;0
15;30;0;0
15;31;0;0
15;32;0;0
15;33;0;0
15;34;0;0
15;35;0;0
15;36;0;0
15;37;0;0
15;38;18400000;21731819.775
15;39;62000000;72747355.99
15;40;0;0
15;41;0;0
15;42;0;0
15;43;0;0
15;44;0;0
15;45;133300000;140604755.17
15;46;0;0
15;47;1000000;1268714.1058
15;48;146800000;161351100.34
15;49;0;0
15;50;0;0
15;51;0;0
15;52;0;0
15;53;0;0
15;54;0;0
15;55;0;0
15;56;3700000;4562857.4439
15;57;0;0
15;58;0;0
15;59;0;0
15;60;0;0
15;61;0;0
15;62;0;0
15;63;0;0
15;64;0;0
15;65;0;0
15;66;0;0
15;67;0;0
15;68;0;0
15;69;0;0
15;70;0;0
15;71;0;0
15;72;0;0
15;73;0;0
15;74;0;0
15;75;0;0
15;76;0;0
15;77;4700000;4646709.2968
15;78;0;0
15;79;0;0
16;1;687100000;738168080.75
16;2;0;0
16;3;0;0
16;4;0;0
16;5;0;0
16;6;0;0
16;7;142900000;151748915.71
16;8;9369500000;10641881862
16;9;0;0
16;10;0;0
16;11;0;0
16;12;0;0
16;13;0;0
16;14;0;0
16;15;0;0
16;16;0;0
16;17;21800000;25127457.931
16;18;0;0
16;19;0;0
16;20;0;0
16;21;0;0
16;22;0;0
16;23;0;0
16;24;0;0
16;25;0;0
16;26;0;0
16;27;0;0
16;28;0;0
16;29;0;0
16;30;0;0
16;31;0;0
16;32;0;0
16;33;0;0
16;34;0;0
16;35;0;0
16;36;0;0
16;37;0;0
16;38;140300000;163134024.33
16;39;112600000;130068616.74
16;40;0;0
16;41;0;0
16;42;0;0
16;43;0;0
16;44;0;0
16;45;0;0
16;46;0;0
16;47;900000;1124125.7211
16;48;0;0
16;49;0;0
16;50;0;0
16;51;0;0
16;52;0;0
16;53;0;0
16;54;0;0
16;55;0;0
16;56;0;0
16;57;0;0
16;58;0;0
16;59;0;0
16;60;0;0
16;61;0;0
16;62;0;0
16;63;0;0
16;64;0;0
16;65;0;0
16;66;0;0
16;67;0;0
16;68;0;0
16;69;0;0
16;70;0;0
16;71;0;0
16;72;0;0
16;73;0;0
16;74;0;0
16;75;0;0
16;76;0;0
16;77;0;0
16;78;0;0
16;79;0;0
17;1;0;0
17;2;0;0
17;3;0;0
17;4;0;0
17;5;0;0
17;6;453100000;459173239.1
17;7;428700000;455165727.04
17;8;5016800000;5697069368.5
17;9;0;0
17;10;0;0
17;11;0;0
17;12;0;0
17;13;0;0
17;14;0;0
17;15;0;0
17;16;0;0
17;17;0;0
17;18;0;0
17;19;0;0
17;20;0;0
17;21;0;0
17;22;0;0
17;23;0;0
17;24;0;0
17;25;0;0
17;26;0;0
17;27;0;0
17;28;0;0
17;29;0;0
17;30;0;0
17;31;0;0
17;32;0;0
17;33;0;0
17;34;0;0
17;35;0;0
17;36;0;0
17;37;0;0
17;38;0;0
17;39;0;0
17;40;0;0
17;41;0;0
17;42;100000;103659.37091
17;43;0;0
17;44;0;0
17;45;0;0
17;46;0;0
17;47;0;0
17;48;2300000;2488313.0712
17;49;0;0
17;50;0;0
17;51;0;0
17;52;0;0
17;53;0;0
17;54;0;0
17;55;0;0
17;56;0;0
17;57;0;0
17;58;0;0
17;59;0;0
17;60;0;0
17;61;0;0
17;62;0;0
17;63;0;0
17;64;0;0
17;65;0;0
17;66;0;0
17;67;0;0
17;68;0;0
17;69;0;0
17;70;0;0
17;71;0;0
17;72;0;0
17;73;0;0
17;74;0;0
17;75;0;0
17;76;0;0
17;77;0;0
17;78;0;0
17;79;0;0
18;1;0;0
18;2;0;0
18;3;0;0
18;4;0;0
18;5;0;0
18;6;0;0
18;7;0;0
18;8;0;0
18;9;740400000;726390158.62
18;10;0;0
18;11;0;0
18;12;0;0
18;13;0;0
18;14;0;0
18;15;0;0
18;16;0;0
18;17;0;0
18;18;0;0
18;19;0;0
18;20;0;0
18;21;0;0
18;22;0;0
18;23;0;0
18;24;0;0
18;25;0;0
18;26;0;0
18;27;0;0
18;28;0;0
18;29;0;0
18;30;0;0
18;31;0;0
18;32;0;0
18;33;0;0
18;34;0;0
18;35;0;0
