R_PRODUCTO;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
36;0.999954893557302;0.9990988457555612;0.9999466951683085;0.9983156621076754;0.9999848955060133;0.9937028827492356
37;0.9999933208967992;0.9983232379307213;0.9999989001259988;0.9965894797554745;0.9999841382652123;0.9971208878565112
38;0.999991234816335;0.9982617835768408;0.9999789088655052;0.9949192810186349;0.9999850478367582;0.9945448657308266
39;0.9999999222028522;0.9995483812188742;0.9999999351490048;0.9977020605647503;0.9999986286601723;0.9962345193584405
40;0.9999276420732549;0.9999813290040783;0.9999128459266712;0.9999271628059855;0.9998872120184451;0.9998965211440333
41;0.9999939962912303;0.9996013245861802;0.9999944369543332;0.9989269902355309;0.9999470401105661;0.9986440987834334
42;0.9999931005891384;0.9990197186869094;0.9999909964236219;0.9962279351388512;0.999932706956832;0.9900018720538061
43;0.9999967077595261;0.9988575894435444;0.9999961257368087;0.996398783103469;0.9999622557843052;0.9907473617994643
44;0.9999609289714574;0.9980195961625871;0.9999072786563511;0.9911413942357062;0.9999020434685566;0.9954482310728507
45;0.9999991003684022;0.9999870531609273;0.9999768393245693;0.999943355634035;0.9999699262679801;0.9999578035405051
46;0.9999976975030352;0.9999872390881392;0.9999908774081013;0.9999092112517949;0.999992622472985;0.9998918361928248
47;0.9999998489010159;0.9999991288507701;0.9999971474936339;0.99998716716514;0.9999962766235461;0.9999931993782334
48;0.9999997609069526;0.9999969997649231;0.9999944601449373;0.9999953666884742;0.9999989799547796;0.9999965960161776
49;0.9999995902680598;0.9998936235714504;0.9999993273920422;0.9993430845554037;0.9999993160377649;0.9995361605650261
50;0.999935073378969;0.999670677733962;0.9999022372036505;0.999501777733152;0.9999724025722486;0.9991586742985181
51;0.9999779173055507;0.998960970607565;0.9996474343340815;0.995989312615156;0.9999955953838552;0.9894435626302924
52;0.999995242682281;0.9999664725747387;0.999978838943249;0.9998994928187197;0.9999879463890986;0.9996659922282957
53;0.9997802560628444;0.9986826321221391;0.99983743766164;0.9968770333373225;0.9996418918190939;0.9963786892931791
54;0.9999995378200769;0.9995315396648964;0.9999996969245433;0.9990321461976376;0.9999987833318857;0.998770016578806
55;0.9999991494522854;0.9966546917202871;0.999999293131005;0.9849110582503042;0.9999998402790682;0.9923416343498246
56;0.9999989733444269;0.9987932863576148;0.9999971101617688;0.9955680490575175;0.9999977125995712;0.9981667951743252
57;0.9999996702774782;0.9986933594854609;0.9999991175002166;0.9983287756679614;0.9999980252226351;0.9997746289537621
58;0.9999939409968313;0.9999988632251015;0.9999953869150907;0.999997722253303;0.9999957872386889;0.9999980962323038
