C_RAMA;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
53;0.9999668147143554;0.9999110799889576;0.9999855634136438;0.9998695368059802;0.9999830270147393;0.9995035277435312
54;0.9999945188415181;0.9988188847073308;0.9999985555152736;0.999646986343484;0.9999868141096144;0.9988595307667496
55;0.9999999627169658;0.9996751921466889;0.9999999689024823;0.9998191694115764;0.9999999703296084;0.9998292385212193
56;0.9999999212796549;0.9997350568089794;0.9999998310998228;0.9996776536111048;0.9999996177032631;0.9985157125150547
57;1.0;0.9992929042430994;1.0;0.9998705517144677;1.0;0.9976037551393756
58;0.9999998269864041;0.9999398661435882;0.9999999131683108;0.9999426131939156;0.9999998792429058;0.9998937727890547
59;0.9999990955228799;0.9999241158611212;0.9999993004341795;0.9999389323148045;0.9999991248890681;0.999903514028453
60;0.9999996118882626;0.9999280465616458;0.9999936197123646;0.9996816220829415;0.9999855473614854;0.9995487645078418
61;0.999999972349688;0.999847535561944;0.9999996693235195;0.9995281562724531;0.9999993987281859;0.9991344047366625
62;0.9999998023027712;0.9999584386753213;0.9999998177382265;0.999892205456185;0.9999997301795398;0.9997295492851406
63;0.9999950968763114;0.9999507773049161;0.9999996691190445;0.9999419414164247;0.9999913304171223;0.9998169525050256
64;0.9999531096542433;0.9998515145377908;0.9999643416250078;0.9997871823830715;0.9999964556374114;0.999410476262172
65;0.9999942900968081;0.9999032671520804;0.9999843756156636;0.9999324154581632;0.9999137644840667;0.9995584560275302
66;0.9999993284657275;0.9989705796927645;0.9999987506448998;0.9973577015910915;0.9999991960120264;0.996744232190555
67;0.9999998893566922;0.9999930464279199;0.9999988989643452;0.9999116432535348;0.9999988337177022;0.9991118523023964
68;0.9999995385116836;0.9999323285440725;0.9999991321468436;0.9998489743712815;0.9999993046866769;0.9995692978439196
69;0.9999992082263939;0.9999325600375824;0.9999924120879383;0.9997466204835703;0.9999869894852895;0.9994116723477505
70;0.9999997768281098;0.9998385879826936;0.9999988350379356;0.999522424900085;0.9999985157677626;0.9990924561485631
71;0.9999971656418353;0.9998281862146234;0.9999961253019944;0.9994404525500054;0.9999961964646784;0.9988911371071029
72;0.9999992342268557;0.9997758769468807;0.9999989027220225;0.9996711072970015;0.9999992372356901;0.9992641357832356
73;0.9999997820330994;0.9999761403356571;0.999998506259445;0.9999816864492826;0.9999982232789134;0.9999067387130851
74;0.9999999695071792;0.9998547426123217;0.9999998044590255;0.999721676538205;0.9999997679808634;0.9991934885315551
75;0.9999762717818699;0.9997238689568786;0.9999550606274278;0.9994789735517412;0.9999313615070307;0.9992423149228089
76;0.9999992952369063;0.9997299307201162;0.999992386772785;0.9994945122860274;0.9999833230113496;0.9991037059284463
77;0.999997546778288;0.9998730290563151;0.9999922745330522;0.9993930287117683;0.9999890240017626;0.9987929106558336
78;0.9999999512360651;0.9999816436850901;0.9999888849667266;0.9999825695615909;0.9999964897298657;0.9998210161688393
79;0.9999998417526962;0.9998329183145023;0.999998589589394;0.9997380277716985;0.9999982835579057;0.9992390655953243
